Date,Open,High,Low,Close,Adj Close,Volume
22-12-2020,12785.21973,12840.57031,12695.30957,12807.91992,12807.91992,5700760000
23-12-2020,12834.94043,12841.91992,12758.66992,12771.11035,12771.11035,7028650000
24-12-2020,12791.54004,12833.54981,12767.63965,12804.73047,12804.73047,3305950000
28-12-2020,12914.63965,12930.88965,12827.4502,12899.41992,12899.41992,5076340000
29-12-2020,12965.38965,12973.33008,12821.95996,12850.21973,12850.21973,4680780000
30-12-2020,12906.50977,12924.92969,12857.75977,12870,12870,5292210000
31-12-2020,12877.08984,12902.07031,12821.23047,12888.28027,12888.28027,4771390000
04-01-2021,12958.51953,12958.71973,12543.24023,12698.4502,12698.4502,6546740000
05-01-2021,12665.65039,12828.26953,12665.65039,12818.95996,12818.95996,6904420000
06-01-2021,12666.15039,12909.62988,12649.99023,12740.79004,12740.79004,7648340000
07-01-2021,12867.33984,13090.91016,12867.33984,13067.48047,13067.48047,6777010000
08-01-2021,13160.21973,13208.08984,13036.54981,13201.98047,13201.98047,7223660000
11-01-2021,13048.78027,13138.26953,12999.50977,13036.42969,13036.42969,6876420000
12-01-2021,13062.05957,13105.04004,12963.91992,13072.42969,13072.42969,7181380000
13-01-2021,13088.00977,13171.15039,13051.05957,13128.9502,13128.9502,7072920000
14-01-2021,13174.75,13220.16016,13098.41016,13112.63965,13112.63965,6671090000
15-01-2021,13099.90039,13139.83008,12949.75977,12998.5,12998.5,6402970000
19-01-2021,13132.73047,13206.86035,13078.7002,13197.17969,13197.17969,6229100000
20-01-2021,13342.54981,13486.12988,13329.76953,13457.25,13457.25,6771630000
21-01-2021,13521.48047,13560.34961,13454.07031,13530.91016,13530.91016,7183390000
22-01-2021,13474.80957,13567.13965,13463.66016,13543.05957,13543.05957,5931240000
25-01-2021,13681.20996,13728.98047,13368.67969,13635.99023,13635.99023,7139410000
26-01-2021,13681.71973,13702.69043,13603.19043,13626.05957,13626.05957,6781460000
27-01-2021,13486.58008,13538.41992,13192.91016,13270.59961,13270.59961,11102160000
28-01-2021,13323.29004,13507.63965,13316.51953,13337.16016,13337.16016,9823150000
29-01-2021,13284.71973,13322,12985.04981,13070.69043,13070.69043,7809670000
01-02-2021,13226.17969,13431.45996,13132.46973,13403.38965,13403.38965,7014220000
02-02-2021,13543.09961,13652.7002,13535.86035,13612.78027,13612.78027,7240220000
03-02-2021,13718.30957,13723.83008,13585.33984,13610.54004,13610.54004,7465240000
04-02-2021,13674.05957,13778.41992,13631.62012,13777.74023,13777.74023,7218680000
